エンピレアム 	 Empyreum
[拡張街]エンピレアム 	 Empyreum Subdivision
エンピレアム：コテージ 	 Private Cottage - Empyreum
エンピレアム：ハウス 	 Private House - Empyreum
エンピレアム：レジデンス 	 Private Mansion - Empyreum
エンピレアム：プライベートルーム 	 Private Chambers - Empyreum
エンピレアム：地下工房 	 Company Workshop - Empyreum
イングルサイド：ロビー 	 Ingleside Apartment Lobby
イングルサイド：部屋 	 Ingleside Apartment
ホーンテッドフィースト 	 The Phantoms' Feast
ジュニアの子供部屋 	 The Playroom
ママのダイニング 	 The Banquet Hall
パパのダンスホール 	 The Ballroom
原初世界 	 The Source
第一世界 	 The First
北洋地域 	 The Northern Empty
イルサバード 	 Ilsabard
星外宙域 	 The Sea of Stars
古代世界 	 The World Unsundered
オールド・シャーレアン 	 Old Sharlayan
ラザハン 	 Radz-at-Han
ラヴィリンソス 	 Labyrinthos
サベネア島 	 Thavnair
ガレマルド 	 Garlemald
嘆きの海 	 Mare Lamentorum
ウルティマ・トゥーレ 	 Ultima Thule
エルピス 	 Elpis
ハイモーン広場 	 Highmorn's Horizon
エンピレアム南東 	 Empyreum Southeast
エンピレアム中央 	 Central Empyreum
エンピレアム南西 	 Empyreum Southwest
イングルサイド 	 Ingleside
エンピレアム北西 	 Empyreum Northwest
エンピレアム東 	 Empyreum East
エンピレアム北東 	 Empyreum Northeast
[拡張街]ハイモーン広場 	 Highmorn's Horizon Subdivision
[拡張街]エンピレアム南西 	 Empyreum Southwest Subdivision
[拡張街]エンピレアム中央 	 Central Empyreum Subdivision
[拡張街]エンピレアム北西 	 Empyreum Northwest Subdivision
[拡張街]イングルサイド 	 Ingleside Subdivision
[拡張街]エンピレアム北東 	 Empyreum Northeast Subdivision
[拡張街]エンピレアム南 	 Empyreum South Subdivision
[拡張街]エンピレアム南東 	 Empyreum Southeast Subdivision
地脈調整区 	 Aetherial Manipulation
信仰抽出区 	 Inculcation Channel
信仰増幅区 	 Fervor Enhancement
技巧の間 	 Ingenuity's Ingress
富の間 	 Prosperity's Promise
知恵の間 	 Wisdom's Ward
ゾットの塔 	 The Tower of Zot
基部層 	 Tower Base
中層 	 Tower Climb
最上層 	 Tower Top
ラヴィリンソス 	 Labyrinthos
サベネア島 	 Thavnair
星外 	 The Sea of Stars
古代世界 	 The World Unsundered
オールド・シャーレアン 	 Old Sharlayan
ラザハン 	 Radz-at-Han
アキャーリ南 	 Southern Akyaali
アキャーリ西 	 Western Akyaali
遺烈郷南 	 Southern Great Runoff
マーヤーの幻泉 	 The Font of Maya
アキャーリ沖 	 Outer Akyaali
オノコロ島北 	 Northern Onokoro
イサリ村周辺 	 Isari Slope
カガミの仙窟周辺 	 Exile
ベッコウ島北東 	 Northeastern Bekko
境島東 	 Eastern Barrier Isle
オノコロ島北西 	 Northwestern Onokoro
イシボタンの巌窟周辺 	 The Anemone Gardens
ロッホ・セル湖北東 	 Loch Seld Northeastern Lakebed
ヒュペルボレア造物院 	 Ktisis Hyperboreia
創造大陸層 	 Terrestrial Artifice
創造研究層 	 Experimental Artifice
創造低空層 	 Lower Aerial Artifice
創造大陸観察区 	 Geopsis
創造天空観察区 	 Ouranopsis
創造天脈観察区 	 Cosmopsis
寒冷創造環境 	 Frozen Sphere
創造生物評価室 	 Concept Review
天脈創造環境 	 Celestial Sphere
パンデモニウム正門 	 The Gates of Pandæmonium
スマイルトン 	 Smileton
都市表層区 	 The Outsides
都市内層区 	 The Insides
都市工事区 	 The On-the-waysides
笑顔あふれる正門 	 Smileport
大歓迎の玄関 	 The Welcome Wheel
ビッグチーズ 	 The Frame
世にも素晴らしい市街地 	 The Many Ways
理想的な居住区 	 Block of Dreams
くつろぎの居間 	 Recreation Room
感動と興奮の音楽堂 	 Moving Music Hall
工事中：ご迷惑をおかけしております 	 Under Construction (Sorry!)
幸せを運ぶ通路 	 Happy Street
スティグマ・フォー 	 The Stigma Dreamscape
アルファトロン星 	 The Alphatron Star
小惑星帯 	 Gordhonite Asteroid Belt
竜星 	 The Dragonstar
アルファトロン星 	 The Alphatron Star
ゴードナ文明首都 	 Gordhona
竜星 	 The Dragonstar
ウェポンプラント 	 Weapons Manufacturing
コマンドA4 	 A-4 Command
コンクエストA4 	 A-4 Conquest
アウトポストA4 	 A-4 Outpost
ヘッドクォーターA4 	 A-4 Headquarters
斧槍通り（居住区担当官） 	 The Halberd's Head
[拡張街]斧槍通り（居住区担当官） 	 The Halberd's Head Subdivision
パンデモニウム辺獄下層 	 The Fervid Limbo
パンデモニウム辺獄水道 	 The Stagnant Limbo
アレクサンドリア 	 Alexandria
シャーレアン魔法大学 	 The Studium
フェノメノン大講堂 	 Phenomenon
工匠殿 	 Makers' Meet
選者殿 	 Searchers' Meet
公開講堂 	 Learners' Meet
ヌーメノン大書院 	 Noumenon
討論のモノペトロス 	 The Speaking Monopteros
沈思の森 	 Tranquility
黙考のモノペトロス 	 The Silent Monopteros
七賢人の庭 	 Archons' Design
哲学者の広場 	 The Rostra
アルティフィスホール 	 The Hall of Artifice
ニンファイオン 	 The Nymphaeum
転送魔法研究所 	 The Confluence
