ウォーコー・ゾーモー 	 Worqor Zormor
ジィゴ・ゾーモー 	 Zirgor Zormor
モーガァダー天壁 	 Morgardar Ridge
ゾーの天頂 	 Summit of Zor
ジィゴ・ゾーモー 	 Zirgor Zormor
モーガァダー天壁 	 Morgardar Ridge
ゾーの天頂 	 Summit of Zor
猛凰の爪痕 	 Ruin's Wrath
凪の露営地 	 Calmgrounds
凪への復路 	 Grounding Way
雲への往路 	 Skybound
煙嵐の廃路 	 Forsaken Haze
モーガァの白海 	 Morgar Rise
モーガァ王屯所 	 Council of Morgar
カーリョー陵墓 	 Karryor the Resting
消えゆく記憶の狭間 	 Corrupted Memory Cache
アレクサンドリア城下町 	 Alexandria
凱旋通り 	 Victors' March
平和広場 	 Peacemeet
再臨の地 	 Reascension
ヨカ・トラル 	 Yok Tural
サカ・トラル 	 Xak Tural
アンロスト・ワールド 	 Unlost World
ソリューション・ナイン 	 Solution Nine
トライヨラ 	 Tuliyollal
オルコ・パチャ 	 Urqopacha
コザマル・カ 	 Kozama'uka
ヤクテル樹海 	 Yak T'el
シャーローニ荒野 	 Shaaloani
ヘリテージファウンド 	 Heritage Found
リビング・メモリー 	 Living Memory
ヨカ・トラル 	 Yok Tural
サカ・トラル 	 Xak Tural
アンロスト・ワールド 	 Unlost World
ソリューション・ナイン 	 Solution Nine
トライヨラ 	 Tuliyollal
連なる丘 	 The Arterial Climb
赤銅の門庭 	 Copperstone
満ちた玄関 	 High Tide Harbor
翼鏡の街 	 The Resplendent Quarter
鸞翔の城郭 	 Exultation
ヴォロク連王宮 	 Vollok Shoonsa
羽毛広場 	 The Winged Walk
金凰の間 	 Sunperch
鵬翼の露台 	 Pinion's Reach
サカ・トラル関門 	 Xak Tural Skygate
ゾーゴー永結橋 	 Zorgor the Boundless
ブライトプルーム・ポスト 	 Brightploom Post
フヌイリーの塔 	 Hunu'iliy
エクワーヤ広場 	 Ek-wawya Plaza
鳥趾大路 	 Talonmarch
シーフォーム農園 	 Seafoam Fields
ベイサイド・ベヴィー 	 Bayside Bevy
ワチュメキメキ万貨街 	 Wachumeqimeqi
タコスのチーちゃん 	 Aunt Tii's Tacos
エーテライト・プラザ 	 Tuliyollal Aetheryte Plaza
嘴休めの泉 	 Downripple
シャバーブチェ 	 Xbalyav Ty'e
ゴーニトルクの宝浜 	 Gornitruq Gleamsands
金煌なる旅程 	 Morrow's Measure
フォルアード・キャビンズ 	 The For'ard Cabins
グルージャジャ凱旋門 	 Arch of the Dawn
曙歌の大太鼓 	 The Dawnherald
気球発着場 	 Dirigible Landing
アルパカ停留場 	 Alpaca Stables
チャバ・ユケク 	 Chabayuqeq
チャバ・メキ 	 Chabameki
千古への慰め 	 Solace
遥遠なる嘆き 	 Sorrow
ラァー・トートー 	 Larh Tortoh
ワチュン・ペロ 	 Wachunpelo
メスカル蒸留所 	 Mezcal Distillery
友の牧場 	 The Family Ranch
指先の館 	 Delicate Designs
イクヴロ隊商宿 	 Icuvlo's Inn
アガベの歯列 	 Agave Jaws
パナクペル・リトリート 	 Panaqpelu Retreat
ポーベル商運公司 	 Povlu's Peddlery
キーベル・カピー農園 	 Ciblu's Coffee Grounds
ミープル・マテ茶園 	 Miplu's Mate Garden
オルン・カンカ 	 Oruncanca
万ヶ踏跡 	 Ten Thousand Steps
ウォーラーの残響 	 Worlar's Echo
カーリョーザー祭拝殿 	 Karryorzar the Gracious
哀苦の影 	 Shades of Grief
ナーヨー・ゴーナ 	 Naryor Gorna
佇む自証 	 Proof
涙浮かぶ星池 	 Sunken Stars
チーワグー塩田 	 Chirwagur Saltern
チーワグー塩池 	 Chirwagur Lake
ウォーコー・ゾーモー 	 Worqor Zormor
忘れじの深奥 	 Indelible Passage
花守の塚屋 	 Sentinel
ウォーコー・ラァ・ドー 	 Worqor Lar Dor
カーヴァーフー湖 	 Karvarhur the First
ウユー・ウブ 	 Uyuyub'
ボポル・ウィヒヒ 	 Bopo'uihih
ミヤカ・ベック下流 	 Miyakabek'zu
ウユー・ポガ 	 Uyuypoga
デュースパン・バンク 	 The Dewspun Bank
ミヤカ・ベック上流 	 Miyakabek'zoma
グロストファイア・バンク 	 The Glostfired Bank
オック・ハヌ 	 Ok'hanu
生い茂る薫風の屋敷 	 House of Winds High
キキトラ洞 	 Cave Kikitola 
ショドゥネの滝 	 Xodune
ショーヌの滝 	 Xo'onu
ショピックの滝 	 Xopik'
クル・シャゲ 	 Ku'uxage
竿網桟橋 	 Breath Between
プィフ橋 	 Bridge Puyhu
金渦水田 	 Fields of Gold
オック・ベックベ 	 Ok'bek'be
清き水満ちる浮島の屋敷 	 House of Waters High
コザヌア・キー 	 Kozanuakiy
ポガ停船所 	 Dock Poga
翼なき姉弟の大階段 	 Flight of We Wingless
照らされし参道 	 Stride of the Sun
朋友の灯火 	 Many Fires
トゥム停船所 	 Dock Tumu
リガカの潟 	 Marsh Ligaka
敗者の船 	 Shoals of No Return
イフイカ・トゥム 	 Ihuykatumu
アースンシャイア 	 Earthenshire
釉薬の工房 	 The Workpot
割れた水瓶 	 Cracked Cistern
飛び立ちし巨影の標 	 The Imperious
奸臣の飾り棚 	 Deceiver's Mantel
ウトォームの地平線 	 The Ut'ohmu Horizon
ショブリト灰戦場 	 The Xobr'it Cinderfield
ジャティーカ央森 	 The Ja Tiika Heartland
底碧きセシュドロース 	 The Cerulean Cexudross
気球発着場 	 Dirigible Landing
ヤクアワク・ゾユ 	 Yak Awak Tsoly
イクブラーシャ 	 Iq Br'aax
星覚えの園庭 	 Garden of the Stars
牙磨く鋳工 	 The Fanged Foundry
シャムン・ホジャー 	 Xmun Hojaw
睨視する夜番 	 Nightstalker's Shadow
シャダータラト・ゾユ 	 Xd'aa Talat Tsoly
イクラシュ・ゾユ 	 Iq Rrax Tsoly
イヨンアソの家々 	 Village of Ilyon Asoh
ショブリト・ゾユ 	 Xobr'it Tsoly
ティーンベク洞道 	 The Ty'iinbek Traverse
シャティーンベク・ゾユ 	 Xty'iinbek Tsoly
マムーク 	 Mamook
モシュク・レルーヌク演舞台 	 The Glory of Moxuk Reloonuk
甘い涌き水 	 Sapsweet Cenote
碧眼の家 	 Blue-eyes' Abode
ゴルマジーカ蜜園 	 Golmajiik Grove
幻煌樹 	 Tree of Living Light
空の重し 	 Choliselvaas
セノーテ・ネヨーゾテ 	 Cenote Neyozzote
モシュトラル・ズージャ 	 Moxutural Zooj
セノーテ・ジャユンジャ 	 Cenote Jayunja
鱗の錬磨場 	 Whetstone
足首の小セノーテ 	 Ankledeep
ゴクドラーク岩窟 	 Gok Draak Descent
天深きセノーテ 	 The Skydeep Cenote
スキャンポート 	 Scanning Port Nine
レジデンシャルセクター 	 Residential Sector
コマースセクター 	 Commerce Sector
ガバメントセクター 	 Government Sector
レクリエーションゾーン 	 Recreation Zone
レイノード・ナイン 	 Leynode Nine
インフォメーションセンター 	 Information Center
9-14居住殻 	 Residential Radius 9-14
ネクサスアーケード 	 Nexus Arcade
モザイク・コーヒー 	 Mosaic
レゾリューション 	 Resolution
プラクシスパーク 	 Praxis Park
トゥルービュー 	 True Vue
アルカディア・ソサエティ 	 The Arcadion
ネオンスタイン 	 Neon Stein
バックルーム 	 The Backroom
ジム・トライテール 	 Tritails Training
ヤータナネ草地 	 Yawtanane Grasslands
パリヨーナン沃野 	 Pyariyoanaan Plain
エシュケヤーニ荒原 	 Eshceyaani Wilds
フーサタイ宿場町 	 Hhusatahwi
ルワテニヤーサ 	 Luwateninyawawsa
サンシェヤの大口 	 Maw of Sansheya
トライヨラ関門 	 Tuliyollal Trailhead
トーリ湖 	 Lake Toari
メワヘイゾーン 	 Mehwahhetsoan
ウィダヨーナン台地 	 Boughs of Hwittayoanaan
善き釣り人の岸辺 	 Otsekarri Shore
