ギルドリーヴ 	 Levemete
ハイデリン 	 Hydaelyn
エオルゼア 	 Eorzea
ラノシア 	 La Noscea
黒衣森 	 The Black Shroud
ザナラーン 	 Thanalan
クルザス 	 Coerthas
モードゥナ 	 Mor Dhona
リムサ・ロミンサ 	 Limsa Lominsa
リムサ・ロミンサ：上甲板層 	 Limsa Lominsa Upper Decks
リムサ・ロミンサ：下甲板層 	 Limsa Lominsa Lower Decks
中央ラノシア 	 Middle La Noscea
低地ラノシア 	 Lower La Noscea
東ラノシア 	 Eastern La Noscea
西ラノシア 	 Western La Noscea
高地ラノシア 	 Upper La Noscea
サスタシャ浸食洞 	 Sastasha
ブレイフロクスの野営地 	 Brayflox's Longstop
ワンダラーパレス 	 The Wanderer's Palace
グリダニア 	 Gridania
ウルダハ：ナル回廊 	 Ul'dah - Steps of Nald
ウルダハ：ザル回廊 	 Ul'dah - Steps of Thal
西ザナラーン 	 Western Thanalan
中央ザナラーン 	 Central Thanalan
東ザナラーン 	 Eastern Thanalan
南ザナラーン 	 Southern Thanalan
北ザナラーン 	 Northern Thanalan
カッターズクライ 	 Cutter's Cry
カッパーベル銅山 	 Copperbell Mines
ハラタリ修練所 	 Halatali
カルン埋没寺院 	 The Sunken Temple of Qarn
ウルダハ 	 Ul'dah
グリダニア：新市街 	 New Gridania
グリダニア：旧市街 	 Old Gridania
黒衣森：中央森林 	 Central Shroud
黒衣森：東部森林 	 East Shroud
黒衣森：南部森林 	 South Shroud
黒衣森：北部森林 	 North Shroud
タムタラの墓所 	 The Tam-Tara Deepcroft
ハウケタ御用邸 	 Haukke Manor
トトラクの千獄 	 The Thousand Maws of Toto-Rak
イシュガルド 	 Ishgard
クルザス中央高地 	 Coerthas Central Highlands
ゼーメル要塞 	 Dzemael Darkhold
オーラムヴェイル 	 Aurum Vale
東方地域 	 Far East
モードゥナ 	 Mor Dhona
翡翠湖畔 	 Jadeite Thick
グリーンティア択伐地 	 Greentear
ベントブランチ 	 Bentbranch
スカンポの安息所 	 Sorrel Haven
枯骨の森 	 The Standing Corses
ハニーヤード 	 The Honey Yard
ナインアイビー 	 Nine Ivies
茨の森 	 The Bramble Patch
ラークスコール 	 Larkscall
シルフ領 	 Sylphlands
アッパーパス 	 Upper Paths
ロウアーパス 	 Lower Paths
蛇殻林 	 Snakemolt
沈黙の花壇 	 Silent Arbor
ウルズの恵み 	 Urth's Gift
ひそひそ木立 	 Treespeak
ピースガーデン 	 Peacegarden
アルダースプリングス 	 Alder Springs
プラウドクリーク 	 Proud Creek
青狢門 	 Blue Badger Gate
白狼門 	 White Wolf Gate
ギルバート監視哨 	 Gilbert's Spire
バノック練兵所 	 The Bannock
ガビノー親方の小屋 	 Gabineaux's Bower
裸岩の丘 	 Naked Rock
ウォーレン牢獄 	 Spirithold
ベントブランチ牧場 	 Bentbranch Meadows
ガルヴァンス監視哨 	 Galvanth's Spire
地神の忘却 	 The Matron's Lethe
タムタラの墓所 	 The Tam-Tara Deepcroft
鏡池桟橋 	 The Mirror Planks
睡蓮岩 	 Lilystone
境樹 	 The Hedgetree
エバーシェイド 	 Everschade
ハウケタ御用邸 	 Haukke Manor
早贄台 	 Sanguine Perch
芽吹の池 	 Hopeseed Pond
鱗紋岩 	 Amberscale Rock
スプリガンの巣窟 	 Spriggan Dig
ホウソーン家の山塞 	 The Hawthorne Hut
境樹 	 The Hedgetree
アマリセ監視哨 	 Amarissaix's Spire
カストルム・オリエンス 	 Castrum Oriens
十二神大聖堂 	 Sanctum of the Twelve
シルフの仮宿 	 Little Solace
ムーンスポア・グローブ 	 Moonspore Grove
ゆりかごの大樹 	 The Seedbed
金葉台 	 Goldleaf Dais
ハンギングバーブ 	 Hanging Barbs
バスカロン監視所跡 	 Buscarron's Scar
酒房「バスカロンドラザーズ」 	 Buscarron's Druthers
トトラクの千獄 	 The Thousand Maws of Toto-Rak
イソム・ハーの穴蔵 	 Issom-Har
主なき庵室 	 No Man's Hovel
キャンプ・トランキル 	 Camp Tranquil
古アムダプール市街 	 The Lost City of Amdapor
根渡り沼 	 Rootslake
サウスシュラウド・ランディング 	 South Shroud Landing
古城アムダプール 	 Amdapor Keep
クォーリーミル 	 Quarrymill
レッドベリー砦 	 Redbelly Hive
ゴブリン族の野営地 	 Goblins' Meet
朽葉の吹溜り 	 Takers' Rot
ウルズの泉 	 Urth's Fount
黄蛇門 	 Yellow Serpent Gate
ツリースピーク厩舎 	 Treespeak Stables
エ・タッタ監視哨 	 E-Tatt's Spire
境樹 	 The Hedgetree
ハーストミル 	 Hyrstmill
フォールゴウド 	 Fallgourd Float
浮かぶコルク亭 	 The Bobbing Cork
フロランテル監視哨 	 Florentel's Spire
山師の岩窟 	 Finders' Bluff
ゲルモラ遺跡 	 Gelmorra Ruins
イクサル軍伐採所 	 Ixali Logging Grounds
ユージニア監視哨 	 Eugenia's Spire
初心者の館 	 Hall of the Novice
旅館「とまり木」 	 The Roost
エオルゼア地下空間 	 Eorzean Subterrane
モルディオン監獄 	 Mordion Gaol
ザ・フォールド 	 The Fold
花蜜桟橋 	 Sweetbloom Pier
西の葉脈 	 West Vein
東の葉脈 	 East Vein
ジョスラン監視哨 	 Josselin's Spire
フルフラワー養蜂場 	 Fullflower Comb
精霊の幼木 	 Blessed Bud
ゼファードリフト 	 Zephyr Drift
サマーフォード 	 Summerford
スリーマルム・ベンド 	 Three-malm Bend
モラビー湾 	 Moraby Bay
シダーウッド 	 Cedarwood
ゴッズグリップ 	 The Gods' Grip
ブラッドショア 	 Bloodshore
レインキャッチャー樹林 	 Raincatcher Gully
アジェレス旧街道 	 Agelyss Wise
クォーターストーン 	 Quarterstone
スカルバレー 	 Skull Valley
ハーフストーン 	 Halfstone
幻影諸島 	 The Isles of Umbra
オークウッド 	 Oakwood
ロングクライム 	 The Long Climb
アイアンレイク 	 Iron Lake
ブロンズレイク 	 Bronze Lake
ゼルマ渓谷 	 Zelma's Run
ゼファー陸門 	 Zephyr Gate
ガラディオン湾 	 Galadion Bay
デネベール街道 	 De Nevelle Westroad
ローグ川 	 Rogue River
ラザグラン関門 	 La Thagran Checkpoint
サマーフォード庄 	 Summerford Farms
シーソング石窟 	 Seasong Grotto
アジェレス川 	 Agelyss River
クックポット 	 The Cookpot
開拓者の納屋 	 Tiller's Rest
デセント断崖 	 The Descent
スカイリフト 	 Skylift
デネベール関門 	 De Nevelle Checkpoint
ささやきの谷 	 Woad Whisper Canyon
ニーム川 	 Nym River
フォアマスト 	 Foremast
迷子橋 	 Madman Bridge
眼鏡岩 	 The Eyes
モーニングウィドー 	 The Mourning Widow
テンペスト陸門 	 Tempest Gate
オシュオン大橋 	 Oschon's Embrace
レッドルースター農場 	 Red Rooster Stead
グレイフリート風車群 	 The Grey Fleet
ブラインドアイアン坑道 	 Blind Iron Mines
ラザグラン街道 	 La Thagran Eastroad
見捨てられた廃屋 	 House of Sticks
白鴎塔 	 Gullperch Tower
コスタ・デル・ソル 	 Costa del Sol
アジェレス川 	 Agelyss River
船着場 	 Ferry Docks
ガーロックの棲処 	 The Garlok's Lair
船着場：隠れ滝 	 Hidden Falls Docks
隠れ滝 	 Hidden Falls
ブレイフロクスの野営地 	 Brayflox's Longstop
切られた革紐亭 	 The Severed String
レッドマンティス滝 	 Red Mantis Falls
船着場：レインキャッチャー 	 Raincatcher Gully Docks
ワインポート 	 Wineport
カストルム・オクシデンス 	 Castrum Occidens
スウィフトパーチ入植地 	 Swiftperch
ドードー営巣地 	 The Flock
ブルワーズ灯台 	 The Brewer's Beacon
デネベール街道 	 De Nevelle Westroad
サスタシャ浸食洞 	 Sastasha
エールポート 	 Aleport
キャンプ・スカルバレー 	 Camp Skull Valley
エールグヘームルの墓 	 The Founder's Crypt
北防波壁 	 North Tidegate
南防波壁 	 South Tidegate
船の墓場 	 The Ship Graveyard
常夏の島 	 Isle of Endless Summer
シリウス大灯台 	 Pharos Sirius
メメルン交易商店 	 Memeroon's Trading Post
プアメイドミル 	 Poor Maid's Mill
サラオスの亡骸 	 Thalaos
愚か者の滝 	 Fool Falls
隠者の庵 	 The Hermit's Hovel
ニーム浮遊遺跡 	 The Floating City of Nym
キャンプ・オーバールック 	 Camp Overlook
ウ・ガマロ武装鉱山 	 U'Ghamaro Mines
キャンプ・ブロンズレイク 	 Camp Bronze Lake
ワンダラーパレス 	 The Wanderer's Palace
ジジルン交易商店 	 Jijiroon's Trading Post
コボルド軍試掘地 	 Kobold Dig
金槌台地 	 Hammerlea
ホライズン・エッジ 	 Horizon's Edge
足跡の谷 	 The Footfalls
ウエストウインド岬 	 Cape Westwind
刺抜盆地 	 Spineless Basin
ブラックブラッシュ 	 Black Brush
クラッチ狭間 	 The Clutch
ドライボーン 	 Drybone
サンドゲート 	 Sandgate
ウェルウィック新林 	 Wellwick Wood
バーニングウォール 	 The Burning Wall
ブロークンウォーター 	 Broken Water
ザンラク 	 Zanr'ak
レッドラビリンス 	 The Red Labyrinth
サゴリー砂漠 	 Sagolii Desert
ブルーフォグ 	 Bluefog
ラウバーン緩衝地 	 Raubahn's Push
カストルム・メリディアヌム 	 Castrum Meridianum
ササモの八十階段 	 The Eighty Sins of Sasamo
ビーコンヒル灯台 	 Beaconhill Lighthouse
スコーピオン交易所 	 Scorpion Crossing
ノフィカの井戸 	 Nophica's Wells
一号杭打塔 	 The East Hammer
シルバーバザー 	 The Silver Bazaar
カッパーベル銅山 	 Copperbell Mines
サンライズ門 	 Sunrise Gate
サンセット門 	 Sunset Gate
アラグ陽道 	 Royal Allagan Sunway
ホライズン 	 Horizon
クレセントコーヴ 	 Crescent Cove
物言わぬ王 	 The Silent King
ベスパーベイ 	 Vesper Bay
ムーンドリップ洞窟 	 Moondrip
パラタの墓所 	 Parata's Peace
帝国軍前哨基地 	 Imperial Outpost
ストーンズスロー貧民窟 	 Stonesthrow
フェスカ冒険者キャンプ 	 Fesca's Wash
姉妹丘 	 Four Sisters
スートクリーク 	 Soot Creek
王立ナナモ菜園 	 Royal Plantations
ウルダハ操車庫 	 Ul'dah Dispatch Yard
アラグ星道 	 Royal Allagan Starway
フェスカ展望台 	 Fesca's Watch
ササガン大王樹 	 Sultantree
サゴリー関所 	 Sagolii Gate
アラグ陽道 	 Royal Allagan Sunway
酒房「コッファー＆コフィン」 	 The Coffer & Coffin
ブラックブラッシュ停留所 	 Black Brush Station
シラディハ遺跡 	 Sil'dih Excavation Site
ネズミの巣 	 The Rat's Nest
ヘルズブルード洞穴 	 Hellsbrood Holes
ロストホープ流民街 	 Lost Hope
狼煙の丘 	 The Bonfire
ナナワ銀山 	 Nanawa Mines
アンホーリーエアー 	 The Unholy Heir
キヴロン別宅跡 	 The Quiveron Manse
アラグ陽道 	 Royal Allagan Sunway
キャンプ・ドライボーン 	 Camp Drybone
見えざる都 	 The Invisible City
聖アダマ・ランダマ教会 	 Church of Saint Adama Landama
錐峰ヶ原 	 Sea of Spires
ゴールドバザー 	 The Golden Bazaar
ハラタリ修練所 	 Halatali
アマルジャ軍陣屋 	 Amalj'aa Encampment 
ハイブリッジ 	 Highbridge
ユグラム川 	 Yugr'am River
ザルの祠 	 Thal's Respite
バーガンディ滝 	 Burgundy Falls
最後の祈祷 	 Final Prayer
カルン埋没寺院 	 The Sunken Temple of Qarn
リトルアラミゴ 	 Little Ala Mhigo
リザードクリーク 	 Burnt Lizard Creek
放浪者の埋葬地 	 The Sepulchre
焼かれし者の里 	 Circle of the Tempered
ゴーストレイク 	 Ghostlake
ザンラク脇本陣 	 Zanr'ak Encampment
ザンラク祭場 	 Zanr'ak Altar
ザハラク戦陣 	 Zahar'ak
ナルの祠 	 Nald's Reflection
ミノタウロスマルム 	 Minotaur Malm
忘れられたオアシス 	 Forgotten Springs
ビエルゴズ・ストライク 	 Byregot's Strike
キャンプ・ブルーフォグ 	 Camp Bluefog
東方監視塔 	 East Watchtower
西方監視塔 	 West Watchtower
アマジナ霊銀山跡 	 Abandoned Amajina Mythril Mine
ダラガブの爪 	 Dalamud's Talons
青燐泉 	 Ceruleum Field
青燐精製所 	 Ceruleum Processing Plant
前門 	 Forward Gates
カストルム・メリディアヌム 	 Castrum Meridianum
錐峰ヶ原 	 Sea of Spires
魔列車停車場 	 Loading Bay
飛空戦艦発着場 	 Dreadnaught Landing
モラビー造船廠 	 Moraby Drydocks
ソルトストランド 	 The Salt Strand
キャンドルキープ埠頭 	 Candlekeep Quay
エンプティハート 	 Empty Heart
オシュオン灯台 	 Oschon's Torch
青燐採水場 	 Ceruleum Drill
ハウケタ御用邸：1F 	 Haukke Manor: Ground Floor
ハウケタ御用邸：2F 	 Haukke Manor: Second Floor
ハウケタ御用邸：B1F 	 Haukke Manor: Cellarage
神勇隊司令室 	 Seat of the First Bow
不語仙の座卓 	 Lotus Stand
再生の根株 	 Lifemend Stump
カステッルム・マリヌム 	 Castrum Marinum
外地ラノシア 	 Outer La Noscea
アドミラルブリッジ：提督室 	 Command Room
リムサ・ロミンサ会議部屋 	 リムサ・ロミンサ会議部屋
リムサ・ロミンサ演説部屋 	 リムサ・ロミンサ演説部屋
銀冑団総長室 	 Heart of the Sworn
香煙の間 	 The Fragrant Chamber
砂の家 	 The Waking Sands
炎帝祭跡 	 Bowl of Embers
ウルヴズジェイル係船場 	 Wolves' Den Pier
オ・ゴモロ火口神殿 	 The Navel
茨の園 	 Thornmarch
ハウリングアイ石塔群 	 The Howling Eye
海蛇の巣穴 	 The Serpent's Tongue
サプサ産卵地 	 Sapsa Spawning Grounds
サハギン軍陣営 	 Sahagin Landbase
船隠しの港 	 Reaver Hide
ウォームワイン・サナトリウム 	 Warmwine Sanitorium
船着場：エールポート 	 Aleport Docks
波止場：クレセントコーヴ 	 Crescent Cove Docks
波止場：シルバーバザー 	 Silver Bazaar Docks
B2F 	 B2
ザル回廊 	 Merchant Strip
暁の間 	 The Solar
二号杭打塔 	 The South Hammer
三号杭打塔 	 The West Hammer
カッターズクライ 	 Cutter's Cry
エーテライト・プラザ 	 Ul'dah Aetheryte Plaza
次元の狭間：迎賓室 	 Hall of Summoning
ドラゴンヘッド 	 Dragonhead
神意の地 	 Providence Point
巨石の丘 	 Boulder Downs
ホワイトブリム 	 Whitebrim
ハルドラス騎道 	 Haldrath's March
アドネール占星台 	 First Dicasterial Observatorium of Aetherial and Astrological Phenomena
グリフィン大橋 	 Griffin Crossing
アートボルグ砦群 	 Skyfire Locks
キャンプ・ドラゴンヘッド 	 Camp Dragonhead
ウィッチドロップ 	 Witchdrop
スチールヴィジル 	 Steel Vigil
悪鬼の胃袋 	 The Ogre's Belly
聖ダナフェンの落涙 	 The Weeping Saint
ナタラン入植地 	 Natalan
