異形楼閣 ゾットの塔	The Tower of Zot	<img src="112435.png" width="100%">
電脳夢想 スティグマ・フォー	The Stigma Dreamscape	<img src="112442.png" width="100%">
魔導神門 バブイルの塔	The Tower of Babil	<img src="112436.png" width="100%">
星海潜航 アイティオン星晶鏡	The Aitiascope	<img src="112439.png" width="100%">
創造環境 ヒュペルボレア造物院	Ktisis Hyperboreia	<img src="112438.png" width="100%">
終末樹海 ヴァナスパティ	Vanaspati	<img src="112437.png" width="100%">
最終幻想 レムナント	The Dead Ends	<img src="112440.png" width="100%">
楽園都市 スマイルトン	Smileton	<img src="112441.png" width="100%">
近東秘宝 アルザダール海底遺跡群	Alzadaal's Legacy	<img src="112465.png" width="100%">
異界孤城 トロイアコート	The Fell Court of Troia	<img src="112481.png" width="100%">
雪山冥洞 ラピス・マナリス	Lapis Manalis	<img src="112502.png" width="100%">
星霊間欠 ハーム島	The Aetherfont	<img src="112521.png" width="100%">
深淵潜行 月の地下渓谷	The Lunar Subterrane	<img src="112543.png" width="100%">
アスラ討滅戦	The Gilded Araya	<img src="112536.png" width="100%">
アスラ討滅戦	The Gilded Araya	<img src="112536.png" width="100%">
ハイデリン討滅戦	The Mothercrystal	<img src="112445.png" width="100%">
極ハイデリン討滅戦	The Minstrel's Ballad: Hydaelyn's Call	<img src="112446.png" width="100%">
終焉の戦い	The Final Day	<img src="112447.png" width="100%">
ゾディアーク討滅戦	The Dark Inside	<img src="112443.png" width="100%">
極ゾディアーク討滅戦	The Minstrel's Ballad: Zodiark's Fall	<img src="112444.png" width="100%">
終極の戦い	The Minstrel's Ballad: Endsinger's Aria	<img src="112467.png" width="100%">
バルバリシア討滅戦	Storm's Crown	<img src="112482.png" width="100%">
極バルバリシア討滅戦	Storm's Crown (Extreme)	<img src="112483.png" width="100%">
ルビカンテ討滅戦	Mount Ordeals	<img src="112503.png" width="100%">
極ルビカンテ討滅戦	Mount Ordeals (Extreme)	<img src="112504.png" width="100%">
アスラ討滅戦	The Gilded Araya	<img src="112536.png" width="100%">
ゴルベーザ討滅戦	The Voidcast Dais	<img src="112522.png" width="100%">
極ゴルベーザ討滅戦	The Voidcast Dais (Extreme)	<img src="112523.png" width="100%">
